merchant_id,z_score
040a854a0b27cd1c078805a443650ed1,1.795900068
86b474a966e0cc8faf1092967eaf82f4,1.795899944
c0bf581dc5c2abecaf2385d8845f0c91,1.795899864
5e6615435e2894476e905fd9c9ad28f4,1.79589986
d38010fc4490406c535dbd8396aa3ff5,1.79589933
94100281282886e643fbff5dc5865403,1.79589931
08d24d640ddb54ad66f3562185bc0f49,1.795899259
06755692547bffa6487c9b8e40bc460b,1.795899123
4dd7ef09556ac3f19753e5e606ea49fc,1.795899059
72cc718aff8a9c2c00b29c311a86f8de,1.795899058
35f48f3c40b10f6acbdd1cd1a8093252,1.795898962
9735d7a0dbe9dbeed16a16c4c785b769,1.795898901
35423ae7d5af8c0ea2d694ab72d0d676,1.795898896
701e165ff84d35bc69065cd9cff0e4ff,1.795898893
7710c26b5a917fa0e57e498f9aa652bf,1.795898879
de623a3faed7bddfb7821df8996fcc8d,1.795898736
5a704ff416494bc5729eb71bdf39657c,1.795898707
83aa658c240d1badb5185b3d6fc8c808,1.795898632
542907b161d7afd16500fb0b7dac5329,1.795898586
aaa5def453b9de3c49f84c1bf00b8ce5,1.795898493
3f2d7cfce38125fd40009690c02115be,1.7958983
4614b1f3a471f475f5857c052337e09e,1.795898228
641e0c2c35e72adecd8639eb76ebfa18,1.795898167
665e434a43d7e78885ca9de7cbfd9ab7,1.795898115
e229e8f706916fc3170a2d4c5b3ce643,1.795898062
bfbca0b74d70ded547fe6434559d4e08,1.79589804
188c9cf1ce0a57e6669885026ed415b5,1.795897944
21ad1ab81ab86bc1f0a28494155ca096,1.795897914
c92d9be2cd37afdf71b71194eca87614,1.795897914
21725010d8a7631220fee2008aac8ac3,1.795897826
d57c3910d36def0f811078b484fd8530,1.79589782
b02e588aac5fb0396ed0293ebaba8326,1.795897757
cf91cb8e8d794bd9a3b82a6368e96ec0,1.795897752
33a900397522c1d3f78ba2f8744a653b,1.795897739
f8034b5ee451d276471f72b61b32d802,1.795897693
018f418df303f0090d6f81837408e107,1.795897642
a7ad710353b08b3d1e7ee6daca9679cc,1.795897635
5afb795549393ee3001775b244aba6a1,1.795897612
9643ea653fa4c97e6c0b01346ab1ad6e,1.795897611
2e41cf896aeb42ae117dbaff02e5f7c7,1.795897582
c1092c40dfa01c731017bd0dd7cf63ef,1.795897546
bf5a56c48b186ab2abf6b6fb0458643e,1.795897542
91caf8baf768a5cc1a69f73a26e173dd,1.795897541
c23dc8ad0f2cd5f01323acafa365fa62,1.795897506
7ce76e0f1cf92a75e5ce20ececec6c08,1.795897506
cfcb7077d0bda605e84974ded63d24c1,1.795897488
e57dbebc740250d2c4a370cf6ccb35f0,1.795897484
1f545e75bb38bd91a2d1ecdf4fd579a5,1.795897437
8c62b524bc930416aa76d6c09c53cfcd,1.795897408
5592ac79b01cc0548f8a58114a011955,1.795897397
b9fe954418f325ff775930f885811ef1,1.795897368
15a9fdb942b9fbf8831908c6712dd6b6,1.79589735
9a8da182a6185560f43cda94c19017eb,1.795897347
79c63b829d49bd6d020e36468e83c44a,1.795897346
5ad4f149845a93701c76d3025f4b37db,1.795897338
d623611645c98f06e5c1de66da2378cf,1.795897338
5ef6fac3b859bda32552555b77f147dd,1.795897335
2ac653fd481682448adcb51b0347ae04,1.795897318
ca5b658462069fbcf6db37967b8c9cec,1.795897316
